# Conformance vectors for cpp/spec/chd/SPEC.md.
# Observed by running the archived prototype; see chd-spec.wiki for the run.
# PROTOTYPE-SPECIFIC rows record a construction refusal caused by a weakness of the
# archived prototype's particular hash use, not by anything a new implementation must
# reproduce. An implementation that constructs these key sets successfully is BETTER
# and is conforming. check_vectors.py does not require them.
case	outcome	classification	n_keys	n_queries	n_expect_member	n_expect_absent	sha256_keys	sha256_queries	sha256_expected	key_set_provenance
absent_foreign_corpus	BUILD_OK	ACCEPTANCE	5000	20000	0	20000	d82d866ead7229fb0b9f87d28a181feb1ca2affe7118109695318f6f4e90a1e9	0eab786d38ddeea1e5489a4f88d4bc1f79c697a7798388041c4f8d54c5655579	f9c3f0b3c199ffd48b590a35e24b776888ded6039f799b659897566a577ccd1a	synthetic: splitmix64 seed 0x1111, queried with seed 0x2222
absent_onebit_only	BUILD_OK	ACCEPTANCE	5000	20000	0	20000	ba2cd4fd3782ebf7c0196422cc9d6be7a64d9987cd2286fecd8ed7f990c96c4f	0783a961ef9df6e8d9a2112addf62e6f8ec0acdba07dd008c6e996cc86dbd58a	f9c3f0b3c199ffd48b590a35e24b776888ded6039f799b659897566a577ccd1a	synthetic: splitmix64 seed 0x3333
dup_exact	BUILD_FAIL	ACCEPTANCE	101	0	0	0	b0b1620f63fe704f606edd202a975c43ef465c2ca36c245f8fd618bc418d3087	-	-	synthetic: splitmix64 seed 0xD00D with position 7 repeated
dup_hash1_same_bucket	BUILD_FAIL	PROTOTYPE-SPECIFIC	2	0	0	0	6f4a8523aab33f732bf1febf262b107c5ffcb6954f0be16b1296bf298fc8afe5	-	-	synthetic: two distinct keys sharing hash1
extremal_keys	BUILD_OK	ACCEPTANCE	8	264	8	256	ec95b592496d08386a3da82466b2fe02bcc129a2b017c527216f424bf3fc09c0	6b8815e7a989f223036545e65633213e11d1ca1c6d1a25190b783ad92ac5cf2c	71742fe4bcab6f1e3fbae32952074cbf996edf940531ffb18cbc4611fa6ce144	synthetic: hand-written extremal values
hash1_degenerate_corpus	BUILD_FAIL	PROTOTYPE-SPECIFIC	64	0	0	0	b73f6fa60b85eb4b8885eeca83841eb7e434f9e4c3ae01d75d2157a2af8ba82c	-	-	synthetic: 64 distinct keys sharing hash1
n0_empty	BUILD_OK	ACCEPTANCE	0	8	0	8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e0d015a9633bac21278bbadcbab8a7dfda06235664d9b7e684cac437919a162f	dd79dd076c4db931f65ee08c56f468e11c8091da62329e6adcc180e79114cfc8	synthetic: empty
n10000_uniform	BUILD_OK	ACCEPTANCE	10000	30000	10000	20000	68c6b23e7bcfa8e05d2b47880955f968833f799d666993a9c0ff9eb3e09f8522	d5d828bd39827bd2ecb4165af419562978e2fbe909c2671c5ccc063477efc711	e7d5df6b300b56cb969408c0e6cb38e358545d54e45a90ddb82a6447442220a6	synthetic: splitmix64, see gen_vectors.cpp
n1000_uniform	BUILD_OK	ACCEPTANCE	1000	3000	1000	2000	83970e0a772ce6158b3fd80748fce0a81fbfd511e09c11b0dddf0a34e4617a18	75fbca3cd65d6b72e8bc96b97175af5283ce94611f1911767ba17de6902f8fea	32ce42c61c42ef388224c56cb3fe3985b5e31febe8e888cdd702d8534cc296bd	synthetic: splitmix64, see gen_vectors.cpp
n100_uniform	BUILD_OK	ACCEPTANCE	100	300	100	200	84bdaaa88b4f88983cf499e6b4355901e6a327ef2e560e48a3c740d975290715	07c672bc167bfca6cedbaa068798fc1dcabaa3f8f9c741a29e403feedab10478	cc6c289e66378f22bfe395f87cc0ed5feb24526ab8a97fe0a5cafcd1f5c71e9b	synthetic: splitmix64, see gen_vectors.cpp
